OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
1057,The Odyssey School,Baltimore,5,4/13/21,15:00:00+00
1100,Beall Elementary School,Allegany,5,4/21/21,15:00:00+00
1109,Eastern Technical High School,Baltimore,5,4/21/21,15:00:00+00
1116,Mace's Lane Middle School,Dorchester,5,4/21/21,15:00:00+00
1119,New Market Middle School,Frederick,5,4/21/21,15:00:00+00
1140,The Odyssey School,Baltimore,5,4/21/21,15:00:00+00
1150,Catonsville High School,Baltimore,5,4/28/21,15:00:00+00
1152,Choptank Elementary School,Dorchester,5,4/28/21,15:00:00+00
1154,Eastern Technical High School,Baltimore,5,4/28/21,15:00:00+00
1155,Forest Lakes Elementary School,Harford,5,4/28/21,15:00:00+00
1163,McDonogh School,Baltimore,5,4/28/21,15:00:00+00
1165,New Market Middle School,Frederick,5,4/28/21,15:00:00+00
1166,North Dorchester Middle School,Dorchester,5,4/28/21,15:00:00+00
1193,Catonsville High School,Baltimore,5,5/5/21,15:00:00+00
1197,Forest Lakes Elementary School,Harford,5,5/5/21,15:00:00+00
1201,HOPE Academy,Baltimore City,5,5/5/21,15:00:00+00
1211,North Dorchester Middle School,Dorchester,5,5/5/21,15:00:00+00
1218,Rosedale Baptist School,Baltimore,5,5/5/21,15:00:00+00
1235,Bainbridge Elementary School,Cecil,5,5/12/21,15:00:00+00
1253,Leonardtown Middle School,St. Mary's,5,5/12/21,15:00:00+00
1256,Mount De Sales High School,Baltimore,5,5/12/21,15:00:00+00
1373,Mount De Sales High School,Baltimore,5,5/19/21,15:00:00+00
1386,Crisfield High School,Somerset,5,5/26/21,15:00:00+00
1501,Century High School,Carroll,5,9/1/21,15:00:00+00
1511,Lewistown Elementary School,Frederick,5,9/1/21,15:00:00+00
1527,Tuscarora High School,Frederick,5,9/1/21,15:00:00+00
1556,John Carroll School,Harford,5,9/8/21,15:00:00+00
1558,Lewistown Elementary School,Frederick,5,9/8/21,15:00:00+00
1571,St. John's School,St. Mary's,5,9/8/21,15:00:00+00
1581,Wicomico Day School,Wicomico,5,9/8/21,15:00:00+00
1643,Brunswick Elementary School,Frederick,5,9/15/21,15:00:00+00
1653,Church Lane Elementary School,Baltimore,5,9/15/21,15:00:00+00
1718,The Key School,Anne Arundel,5,9/15/21,15:00:00+00
1872,Center for Applied Technologies North,Anne Arundel,5,9/29/21,15:00:00+00
1907,Hammond Elementary School,Howard,5,9/29/21,15:00:00+00
1952,Northern Middle School,Garrett,5,9/29/21,15:00:00+00
1959,Orchard Groves Elementary School,Frederick,5,9/29/21,15:00:00+00
1967,Queen Anne's County High School,Queen Anne's,5,9/29/21,15:00:00+00
1996,St. Margaret School,Harford,5,9/29/21,15:00:00+00
1998,St. Paul's Lutheran School,Baltimore,5,9/29/21,15:00:00+00
2009,Walkersville Middle School,Frederick,5,9/29/21,15:00:00+00
2016,Worcester Preparatory School,Worcester,5,9/29/21,15:00:00+00
2206,Caver Vocational High School,Baltimore City,5,10/6/21,15:00:00+00
2236,Good Shepard Catholic School,Cecil,5,10/6/21,15:00:00+00
2248,Howard High School,Howard,5,10/6/21,15:00:00+00
2270,Mattawoman Middle School,Charles,5,10/6/21,15:00:00+00
2277,Mount View Middle School,Howard,5,10/6/21,15:00:00+00
2295,Oakwood Elementary School,Anne Arundel,5,10/6/21,15:00:00+00
2328,St. Margaret School,Harford,5,10/6/21,15:00:00+00
2344,Walkersville Middle School,Frederick,5,10/6/21,15:00:00+00
2346,Wellwood International School,Baltimore,5,10/6/21,15:00:00+00
2350,Wilde Lake Middle School,Howard,5,10/6/21,15:00:00+00
2531,Annapolis Area Christian School - Severn Campus Lower School,Anne Arundel,5,10/13/21,15:00:00+00
2550,Caver Vocational High School,Baltimore City,5,10/13/21,15:00:00+00
2579,Good Shepard Catholic School,Cecil,5,10/13/21,15:00:00+00
2589,Howard High School,Howard,5,10/13/21,15:00:00+00
2602,Mattawoman Middle School,Charles,5,10/13/21,15:00:00+00
2610,Mount View Middle School,Howard,5,10/13/21,15:00:00+00
2625,Oakwood Elementary School,Anne Arundel,5,10/13/21,15:00:00+00
2676,Wellwood International School,Baltimore,5,10/13/21,15:00:00+00
2686,Yough Glades Elementary School,Garrett,5,10/13/21,15:00:00+00
2690,Annapolis Area Christian School - Lower School Severn,Anne Arundel,5,10/20/21,15:00:00+00
2725,Franklin Square Elementary School,Baltimore City,5,10/20/21,15:00:00+00
2747,Mattawoman Middle School,Charles,5,10/20/21,15:00:00+00
2823,Yough Glades Elementary School,Garrett,5,10/20/21,15:00:00+00
2,Archbishiop Neale School,Charles,4,10/29/20,14:00:00+00
18,Glenelg Country School,Howard,4,11/5/20,15:00:00+00
56,Cedar Ridge School,Washington,4,11/11/20,15:00:00+00
65,Pangborn Elementary,Washington,4,11/11/20,15:00:00+00
79,Cedar Ridge School,Washington,4,11/18/20,15:00:00+00
86,McDonough School,Baltimore,4,11/18/20,15:00:00+00
88,Pangborn Elementary,Washington,4,11/18/20,15:00:00+00
92,Monsignor Slade Catholic School,Anne Arundel,4,11/18/20,15:00:00+00
103,Bais Yaakov Eva Winer High School,Baltimore,4,11/18/20,15:00:00+00
104,Delmar Elementary School,Wicomico,4,11/18/20,15:00:00+00
