OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
2746,Margaret Brent Middle School,St. Mary's,89,10/20/21,15:00:00+00
2601,Margaret Brent Middle School,St. Mary's,83,10/13/21,15:00:00+00
571,Talmudical Academy of Baltimore,Baltimore,72,2/10/21,15:00:00+00
2742,Leonardtown High School,St. Mary's,72,10/20/21,15:00:00+00
2260,Leonardtown High School,St. Mary's,71,10/6/21,15:00:00+00
2595,Leonardtown High School,St. Mary's,71,10/13/21,15:00:00+00
528,Talmudical Academy of Baltimore,Baltimore,62,2/3/21,15:00:00+00
2267,Margaret Brent Middle School,St. Mary's,62,10/6/21,15:00:00+00
1929,Margaret Brent Middle School,St. Mary's,61,9/29/21,15:00:00+00
450,Talmudical Academy of Baltimore,Baltimore,56,1/27/21,15:00:00+00
2729,Great Mills High School,St. Mary's,55,10/20/21,15:00:00+00
590,Bais Yaakov Eva Winer High School,Baltimore,51,2/17/21,15:00:00+00
624,Bais Yaakov Eva Winer High School,Baltimore,51,2/24/21,15:00:00+00
558,Bais Yaakov Eva Winer High School,Baltimore,49,2/10/21,15:00:00+00
2794,Spring Ridge Middle School,St. Mary's,49,10/20/21,15:00:00+00
393,Talmudical Academy of Baltimore,Baltimore,48,1/20/21,15:00:00+00
507,Bais Yaakov Eva Winer High School,Baltimore,45,2/3/21,15:00:00+00
431,Bais Yaakov Eva Winer High School,Baltimore,44,1/27/21,15:00:00+00
2580,Great Mills High School,St. Mary's,44,10/13/21,15:00:00+00
2652,Spring Ridge Middle School,St. Mary's,42,10/13/21,15:00:00+00
2704,Carter G Woodson Elementary,Somerset,42,10/20/21,15:00:00+00
2776,Piney Point Elementary School,St. Mary's,42,10/20/21,15:00:00+00
2726,Friends School,Baltimore City,41,10/20/21,15:00:00+00
2553,Chesapeake High School,Anne Arundel,40,10/13/21,15:00:00+00
2576,Friends School,Baltimore City,40,10/13/21,15:00:00+00
2708,Chesapeake High School,Anne Arundel,40,10/20/21,15:00:00+00
2234,Friends School,Baltimore City,39,10/6/21,15:00:00+00
2548,Carter G.  Woodson Elementary School,Somerset,39,10/13/21,15:00:00+00
2635,Piney Point Elementary School,St. Mary's,39,10/13/21,15:00:00+00
2802,St. Ursula Catholic School,Baltimore,39,10/20/21,15:00:00+00
2723,Fort Hill High School,Allegany,38,10/20/21,15:00:00+00
383,Bais Yaakov Eva Winer High School,Baltimore,37,1/20/21,15:00:00+00
2666,Talmudical Academy,Baltimore,37,10/13/21,15:00:00+00
313,Talmudical Academy,Baltimore,36,12/30/20,15:00:00+00
324,Talmudical Academy of Baltimore,Baltimore,36,1/6/21,15:00:00+00
347,Talmudical Academy of Baltimore,Baltimore,36,1/13/21,15:00:00+00
2003,Talmudical Academy,Baltimore,36,9/29/21,15:00:00+00
2305,Piney Point Elementary School,St. Mary's,36,10/6/21,15:00:00+00
2335,Talmudical Academy,Baltimore,36,10/6/21,15:00:00+00
2660,St. Ursula Catholic School,Baltimore,36,10/13/21,15:00:00+00
1899,Friends School,Baltimore City,35,9/29/21,15:00:00+00
1923,Leonardtown High School,St. Mary's,35,9/29/21,15:00:00+00
338,Bais Yaakov Eva Winer High School,Baltimore,34,1/13/21,15:00:00+00
2238,Great Mills High School,St. Mary's,34,10/6/21,15:00:00+00
2760,North East Middle School,Cecil,34,10/20/21,15:00:00+00
1436,Williamsport High School,Washington,33,6/2/21,15:00:00+00
2204,Carter G Woodson Elementary,Somerset,33,10/6/21,15:00:00+00
2332,St. Ursula Catholic School,Baltimore,33,10/6/21,15:00:00+00
2573,Fort Hill High School,Allegany,33,10/13/21,15:00:00+00
2720,Esperanza Middle School,St. Mary's,33,10/20/21,15:00:00+00
2770,Parkside High School,Wicomico,33,10/20/21,15:00:00+00
604,Talmudical Academy of Baltimore - Elementary,Baltimore,32,2/17/21,15:00:00+00
1382,Williamsport High School,Washington,32,5/19/21,15:00:00+00
1404,Williamsport High School,Washington,32,5/26/21,15:00:00+00
2629,Parkside High School,Wicomico,32,10/13/21,15:00:00+00
2819,Williamsport High School,Washington,32,10/20/21,15:00:00+00
316,Bais Yaakov Eva Winer High School,Baltimore,31,1/6/21,15:00:00+00
1274,Williamsport High School,Washington,31,5/12/21,15:00:00+00
2682,Williamsport High School,Washington,31,10/13/21,15:00:00+00
1233,Williamsport High School,Washington,30,5/5/21,15:00:00+00
2286,North East Middle School,Cecil,30,10/6/21,15:00:00+00
2617,North East Middle School,Cecil,30,10/13/21,15:00:00+00
2619,Northeast High School,Anne Arundel,30,10/13/21,15:00:00+00
2703,Career Center for Technical Education,Allegany,30,10/20/21,15:00:00+00
2762,Northeast High School,Anne Arundel,30,10/20/21,15:00:00+00
1870,Carter G Woodson Elementary,Somerset,29,9/29/21,15:00:00+00
2000,St. Ursula Catholic School,Baltimore,29,9/29/21,15:00:00+00
2233,Fort Hill High School,Allegany,29,10/6/21,15:00:00+00
2325,Spring Ridge Middle School,St. Mary's,29,10/6/21,15:00:00+00
2547,Career Center for Technical Education,Allegany,29,10/13/21,15:00:00+00
2622,Northwest Middle School,Carroll,29,10/13/21,15:00:00+00
2687,Allegany High School,Allegany,29,10/20/21,15:00:00+00
2765,Northwest Middle School,Carroll,29,10/20/21,15:00:00+00
2788,Somerset Intermediate School,Somerset,29,10/20/21,15:00:00+00
2754,Mountain Ridge High School,Allegany,28,10/20/21,15:00:00+00
300,Bais Yaakov Eva Winer High School,Baltimore,27,12/30/20,15:00:00+00
1953,Northwest Middle School,Carroll,27,9/29/21,15:00:00+00
2195,Broadfording Christian Academy,Washington,27,10/6/21,15:00:00+00
2203,Career Center for Technical Education,Allegany,27,10/6/21,15:00:00+00
2291,Northwest Middle School,Carroll,27,10/6/21,15:00:00+00
2299,Parkside High School,Wicomico,27,10/6/21,15:00:00+00
2528,Allegany High School,Allegany,27,10/13/21,15:00:00+00
2816,Western Heights Middle School,Washington,27,10/20/21,15:00:00+00
397,Torah Institute of Baltimore,Baltimore,26,1/20/21,15:00:00+00
453,Torah Institute of Baltimore,Baltimore,26,1/27/21,15:00:00+00
1960,Parkside High School,Wicomico,26,9/29/21,15:00:00+00
2351,Williamsport High School,Washington,26,10/6/21,15:00:00+00
2650,Somerset Intermediate School,Somerset,26,10/13/21,15:00:00+00
2706,Catoctin High School,Frederick,26,10/20/21,15:00:00+00
283,Bais Yaakov Eva Winer High School,Baltimore,25,12/23/20,15:00:00+00
1182,Williamsport High School,Washington,25,4/28/21,15:00:00+00
1518,Quince Orchard High School,Montgomery,25,9/1/21,15:00:00+00
1566,Quince Orchard High School,Montgomery,25,9/8/21,15:00:00+00
1863,Broadfording Christian Academy,Washington,25,9/29/21,15:00:00+00
2288,Northeast High School,Anne Arundel,25,10/6/21,15:00:00+00
2787,Snow Hill Middle School,Worcester,25,10/20/21,15:00:00+00
1136,Stephen Decatur High School,Worcester,24,4/21/21,15:00:00+00
1177,Stephen Decatur High School,Worcester,24,4/28/21,15:00:00+00
1487,Quince Orchard High School,Montgomery,24,8/25/21,15:00:00+00
1964,Piney Point Elementary School,St. Mary's,24,9/29/21,15:00:00+00
2210,Chesapeake High School,Anne Arundel,24,10/6/21,15:00:00+00
2319,Snow Hill Middle School,Worcester,24,10/6/21,15:00:00+00
2611,Mountain Ridge High School,Allegany,24,10/13/21,15:00:00+00
2649,Snow Hill Middle School,Worcester,24,10/13/21,15:00:00+00
2679,Western Heights Middle,Washington,24,10/13/21,15:00:00+00
2698,Braddock Middle School,Allegany,24,10/20/21,15:00:00+00
2758,North Dorchester Middle School,Dorchester,24,10/20/21,15:00:00+00
1266,Stephen Decatur High School,Worcester,23,5/12/21,15:00:00+00
1876,Chesapeake High School,Anne Arundel,23,9/29/21,15:00:00+00
2348,Western Heights Middle,Washington,23,10/6/21,15:00:00+00
2538,Braddock Middle School,Allegany,23,10/13/21,15:00:00+00
2764,Northern Middle School,Washington,23,10/20/21,15:00:00+00
1142,Williamsport High School,Washington,22,4/21/21,15:00:00+00
1949,Northeast High School,Anne Arundel,22,9/29/21,15:00:00+00
2261,Leonardtown Middle School,St. Mary's,22,10/6/21,15:00:00+00
2596,Leonardtown Middle School,St. Mary's,22,10/13/21,15:00:00+00
2615,North Dorchester Middle School,Dorchester,22,10/13/21,15:00:00+00
2710,Crisfield High School,Somerset,22,10/20/21,15:00:00+00
2743,Leonardtown Middle School,St. Mary's,22,10/20/21,15:00:00+00
2773,Perryville High School,Cecil,22,10/20/21,15:00:00+00
2795,St. Charles High School,Charles,22,10/20/21,15:00:00+00
1225,Stephen Decatur High School,Worcester,21,5/5/21,15:00:00+00
2278,Mountain Ridge High School,Allegany,21,10/6/21,15:00:00+00
2614,North Dorchester High School,Dorchester,21,10/13/21,15:00:00+00
2757,North Dorchester High School,Dorchester,21,10/20/21,15:00:00+00
2785,Showell Elementary School,Worcester,21,10/20/21,15:00:00+00
1947,North East Middle School,Cecil,20,9/29/21,15:00:00+00
2015,Williamsport High School,Washington,20,9/29/21,15:00:00+00
2284,North Dorchester High School,Dorchester,20,10/6/21,15:00:00+00
2285,North Dorchester Middle School,Dorchester,20,10/6/21,15:00:00+00
2327,St. Jerome Academy,Prince George's,20,10/6/21,15:00:00+00
2340,Thurmont Middle School,Frederick,20,10/6/21,15:00:00+00
2549,Catoctin High School,Frederick,20,10/13/21,15:00:00+00
2621,Northern Middle School,Washington,20,10/13/21,15:00:00+00
2627,Old Mill Middle School - South,Anne Arundel,20,10/13/21,15:00:00+00
2654,St. Jerome Academy,Prince George's,20,10/13/21,15:00:00+00
2763,Northeast Middle School,Anne Arundel,20,10/20/21,15:00:00+00
2796,St. Jerome Academy,Prince George's,20,10/20/21,15:00:00+00
177,Grace Academy,Washington,19,12/2/20,15:00:00+00
229,Grace Academy,Washington,19,12/9/20,15:00:00+00
348,Torah Institute of Baltimore,Baltimore,19,1/13/21,15:00:00+00
1207,Lincolnshire Elementary School,Washington,19,5/5/21,15:00:00+00
1255,Lincolnshire Elementary School,Washington,19,5/12/21,15:00:00+00
1641,Broadfording Christian Academy,Washington,19,9/15/21,15:00:00+00
1903,Great Mills High School,St. Mary's,19,9/29/21,15:00:00+00
1945,North Dorchester High School,Dorchester,19,9/29/21,15:00:00+00
1946,North Dorchester Middle School,Dorchester,19,9/29/21,15:00:00+00
2620,Northeast Middle School,Anne Arundel,19,10/13/21,15:00:00+00
2648,Showell Elementary School,Worcester,19,10/13/21,15:00:00+00
1059,Williamsport High School,Washington,18,4/13/21,15:00:00+00
1697,Parkside High School,Wicomico,18,9/15/21,15:00:00+00
1868,Career Center for Technical Education,Allegany,18,9/29/21,15:00:00+00
2290,Northern Middle School,Washington,18,10/6/21,15:00:00+00
2297,Old Mill Middle School,Anne Arundel,18,10/6/21,15:00:00+00
2318,Showell Elementary School,Worcester,18,10/6/21,15:00:00+00
2632,Perryville High School,Cecil,18,10/13/21,15:00:00+00
2814,Washington High School,Somerset,18,10/20/21,15:00:00+00
150,Grace Academy,Washington,17,11/25/20,15:00:00+00
1146,Boonsboro High School,Washington,17,4/28/21,15:00:00+00
1728,Williamsport High School,Washington,17,9/15/21,15:00:00+00
1951,Northern Middle School,Washington,17,9/29/21,15:00:00+00
1984,Snow Hill Middle School,Worcester,17,9/29/21,15:00:00+00
2012,Western Heights Middle,Washington,17,9/29/21,15:00:00+00
2243,Harford Technical High School,Harford,17,10/6/21,15:00:00+00
2334,T.C. Martin Elementary School,Charles,17,10/6/21,15:00:00+00
2664,T.C. Martin Elementary School,Charles,17,10/13/21,15:00:00+00
2675,Washington High School,Somerset,17,10/13/21,15:00:00+00
2769,Orchard Groves Elementary School,Frederick,17,10/20/21,15:00:00+00
83,Grace Academy,Washington,16,11/18/20,15:00:00+00
1103,Boonsboro High School,Washington,16,4/21/21,15:00:00+00
1222,St. Mary's School,Anne Arundel,16,5/5/21,15:00:00+00
1265,St. Mary's School,Anne Arundel,16,5/12/21,15:00:00+00
1559,Lillie May Jackson Charter Public School,Baltimore City,16,9/8/21,15:00:00+00
1681,Lillie May Jackson Charter Public School,Baltimore City,16,9/15/21,15:00:00+00
1924,Lillie May Jackson Charter Public School,Baltimore City,16,9/29/21,15:00:00+00
1943,North Bethesda Middle School,Montgomery,16,9/29/21,15:00:00+00
2005,Thurmont Middle School,Frederick,16,9/29/21,15:00:00+00
2193,Braddock Middle School,Allegany,16,10/6/21,15:00:00+00
2281,North Bethesda Middle School,Montgomery,16,10/6/21,15:00:00+00
2559,Crofton High School,Anne Arundel,16,10/13/21,15:00:00+00
2574,Francis Scott Key,Carroll,16,10/13/21,15:00:00+00
2711,Crofton High School,Anne Arundel,16,10/20/21,15:00:00+00
2767,Oakville Elementary School,St. Mary's,16,10/20/21,15:00:00+00
2792,Southern Middle School,Anne Arundel,16,10/20/21,15:00:00+00
567,Resurrection St. Paul School,Howard,15,2/10/21,15:00:00+00
599,Resurrection St. Paul School,Howard,15,2/17/21,15:00:00+00
764,St. Thomas More Academy,Frederick,15,3/17/21,15:00:00+00
853,St. Thomas More Academy,Frederick,15,3/24/21,15:00:00+00
1564,Parkside High School,Wicomico,15,9/8/21,15:00:00+00
1717,Talmudical Academy,Baltimore,15,9/15/21,15:00:00+00
1898,Fort Hill High School,Allegany,15,9/29/21,15:00:00+00
1986,Somerset Intermediate School,Somerset,15,9/29/21,15:00:00+00
2182,Allegany High School,Allegany,15,10/6/21,15:00:00+00
2205,Catoctin High School,Frederick,15,10/6/21,15:00:00+00
2230,Esperanza Middle School,St. Mary's,15,10/6/21,15:00:00+00
2321,Somerset Intermediate School,Somerset,15,10/6/21,15:00:00+00
2551,Chesapeake Bay Middle School,Anne Arundel,15,10/13/21,15:00:00+00
2558,Crisfield High School,Somerset,15,10/13/21,15:00:00+00
2570,Esperanza Middle School,St. Mary's,15,10/13/21,15:00:00+00
2628,Orchard Groves Elementary School,Frederick,15,10/13/21,15:00:00+00
2707,Chesapeake Bay Middle School,Anne Arundel,15,10/20/21,15:00:00+00
2730,Greenwood Elementary School,Somerset,15,10/20/21,15:00:00+00
60,Grace Academy,Washington,14,11/11/20,15:00:00+00
519,Resurrection St. Paul School,Howard,14,2/3/21,15:00:00+00
935,Boonsboro High School,Washington,14,4/7/21,15:00:00+00
1023,Boonsboro High School,Washington,14,4/13/21,15:00:00+00
1906,Gwynn Park High School,Prince George's,14,9/29/21,15:00:00+00
1940,Mountain Ridge High School,Allegany,14,9/29/21,15:00:00+00
1994,St. Jerome Academy,Prince George's,14,9/29/21,15:00:00+00
2626,Old Mill Middle School - North,Anne Arundel,14,10/13/21,15:00:00+00
2701,Captain Walter Francis Duke Middle School,St. Mary's,14,10/20/21,15:00:00+00
2813,Walkersville Middle School,Frederick,14,10/20/21,15:00:00+00
296,Talmudical Academy,Baltimore,13,12/23/20,15:00:00+00
895,Boonsboro High School,Washington,13,3/31/21,15:00:00+00
975,Williamsport High School,Washington,13,4/7/21,15:00:00+00
1160,Lincolnshire Elementary School,Washington,13,4/28/21,15:00:00+00
1175,St. Mary's School,Anne Arundel,13,4/28/21,15:00:00+00
1431,Springfield Middle School,Washington,13,6/2/21,15:00:00+00
1512,Lillie May Jackson Charter Public School,Baltimore City,13,9/1/21,15:00:00+00
1862,Braddock Middle School,Allegany,13,9/29/21,15:00:00+00
2208,Chesapeake Bay Middle School,Anne Arundel,13,10/6/21,15:00:00+00
2345,Washington High School,Somerset,13,10/6/21,15:00:00+00
2581,Greenwood Elementary School,Somerset,13,10/13/21,15:00:00+00
2606,Monarch Global Academy,Anne Arundel,13,10/13/21,15:00:00+00
2751,Monarch Global Academy,Anne Arundel,13,10/20/21,15:00:00+00
11,Greensboro Elementary School,Caroline,12,11/5/20,15:00:00+00
12,Archbishop Neale Elementary School,Charles,12,11/5/20,15:00:00+00
228,Glenelg Country School,Howard,12,12/9/20,15:00:00+00
273,Glenelg Country School,Howard,12,12/16/20,15:00:00+00
281,Talmudical Academy,Baltimore,12,12/16/20,15:00:00+00
1161,Mace's Lane Middle School,Dorchester,12,4/28/21,15:00:00+00
1244,Choptank Elementary School,Dorchester,12,5/12/21,15:00:00+00
1378,Springfield Middle School,Washington,12,5/19/21,15:00:00+00
1399,Springfield Middle School,Washington,12,5/26/21,15:00:00+00
1652,Chopticon High School,St. Mary's,12,9/15/21,15:00:00+00
1708,Somerset Intermediate School,Somerset,12,9/15/21,15:00:00+00
1719,Thurmont Middle School,Frederick,12,9/15/21,15:00:00+00
1871,Catoctin High School,Frederick,12,9/29/21,15:00:00+00
2341,Tristate Christian Academy,Cecil,12,10/6/21,15:00:00+00
2634,Pimlico Elementary Middle School,Baltimore City,12,10/13/21,15:00:00+00
2693,Baltimore International Academy - East,Baltimore City,12,10/20/21,15:00:00+00
2775,Pimlico Elementary Middle School,Baltimore City,12,10/20/21,15:00:00+00
2808,"The Children's Guild, Inc. - Prince George's Campus",Prince George's,12,10/20/21,15:00:00+00
176,Glenelg Country School,Howard,11,12/2/20,15:00:00+00
269,Bais Yaakov Eva Winer High School,Baltimore,11,12/16/20,15:00:00+00
905,Immaculate Conception School,Baltimore,11,3/31/21,15:00:00+00
912,Odenton Christian School,Anne Arundel,11,3/31/21,15:00:00+00
1202,John Carroll High School,Harford,11,5/5/21,15:00:00+00
1249,John Carroll High School,Harford,11,5/12/21,15:00:00+00
1459,Bel Air Elementary School,Harford,11,8/11/21,15:00:00+00
1576,Thurmont Middle School,Frederick,11,9/8/21,15:00:00+00
1670,Gwynn Park High School,Prince George's,11,9/15/21,15:00:00+00
1981,Showell Elementary School,Worcester,11,9/29/21,15:00:00+00
1988,South Penn Elementary School,Allegany,11,9/29/21,15:00:00+00
2010,Washington High School,Somerset,11,9/29/21,15:00:00+00
2188,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/6/21,15:00:00+00
2240,Greenwood Elementary School,Somerset,11,10/6/21,15:00:00+00
2263,Living Hope Christian School,Somerset,11,10/6/21,15:00:00+00
2289,Northeast Middle School,Anne Arundel,11,10/6/21,15:00:00+00
2298,Orchard Groves Elementary School,Frederick,11,10/6/21,15:00:00+00
2304,Pimlico Elementary Middle School,Baltimore City,11,10/6/21,15:00:00+00
2315,Shady Spring Elementary School,Baltimore,11,10/6/21,15:00:00+00
2534,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/13/21,15:00:00+00
2563,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,10/13/21,15:00:00+00
2585,Havre de Grace Elementary,Harford,11,10/13/21,15:00:00+00
2696,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/20/21,15:00:00+00
2700,Buckingham Elementary School,Worcester,11,10/20/21,15:00:00+00
2715,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,10/20/21,15:00:00+00
2732,Havre de Grace Elementary School,Harford,11,10/20/21,15:00:00+00
2782,Shady Spring Elementary School,Baltimore,11,10/20/21,15:00:00+00
1,Greensboro Elementary School,Caroline,10,10/29/20,14:00:00+00
146,Bullis School,Montgomery,10,11/25/20,15:00:00+00
149,Glenelg Country School,Howard,10,11/25/20,15:00:00+00
174,Bullis School,Montgomery,10,12/2/20,15:00:00+00
286,Frederick Christian Academy,Frederick,10,12/23/20,15:00:00+00
303,Frederick Christian Academy,Frederick,10,12/30/20,15:00:00+00
434,Bishop McNamara High,Prince George's,10,1/27/21,15:00:00+00
508,Bishop McNamara High,Prince George's,10,2/3/21,15:00:00+00
706,St. John's Catholic Preparatory School,Frederick,10,3/10/21,15:00:00+00
709,St. Thomas More Academy,Frederick,10,3/10/21,15:00:00+00
761,Saint John's Catholic Preparatory School,Frederick,10,3/17/21,15:00:00+00
837,Boonsboro High School,Washington,10,3/24/21,15:00:00+00
847,Odenton Christian School,Anne Arundel,10,3/24/21,15:00:00+00
1102,Bnos Yisroel of Baltimore,Baltimore City,10,4/21/21,15:00:00+00
1239,Bethel Christian Academy,Howard,10,5/12/21,15:00:00+00
1264,Springfield Middle School,Washington,10,5/12/21,15:00:00+00
1364,Bethel Christian Academy,Howard,10,5/19/21,15:00:00+00
1451,Bel Air Elementary School,Harford,10,8/4/21,15:00:00+00
2199,Calvert Hall College High School,Baltimore,10,10/6/21,15:00:00+00
2218,Crofton High School,Anne Arundel,10,10/6/21,15:00:00+00
2223,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,10,10/6/21,15:00:00+00
2275,Monsignor Slade Catholic School,Anne Arundel,10,10/6/21,15:00:00+00
2543,Calvert Hall College High School,Baltimore,10,10/13/21,15:00:00+00
2645,Seaside Christian Academy,Worcester,10,10/13/21,15:00:00+00
2781,Seaside Christian Academy,Worcester,10,10/20/21,15:00:00+00
386,Bishop McNamara High,Prince George's,9,1/20/21,15:00:00+00
